episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
84,360.4300794503281,1.8021503972516404,200,1.2095797705650329,200,200,277.3,125.81200866756912,0.0333502538071066,3.202860843540591e-05,,,,,,
85,362.1222349160609,1.8106111745803046,200,1.2552079248428345,200,200,273.6,119.83491049168998,0.033147208121827414,3.1653125685936495e-05,200.0,200.0,580.9,395.24455859752095,313.5452993080683,200.0
86,309.7609349662298,1.548804674831149,200,1.247934069633484,200,200,615.95,494.807507795105,0.03294416243654823,3.1276093919981015e-05,,,,,,
87,338.3191731928306,1.691595865964153,200,1.2178244137763976,200,200,431.85,210.1272239097325,0.032741116751269034,3.089760805327026e-05,,,,,,
88,356.1023406884215,1.7805117034421076,200,1.2927082014083862,200,200,311.55,133.5471534639314,0.032538071065989854,3.051776336759712e-05,,,,,,
89,356.45906388506205,1.7822953194253102,200,1.3005454778671264,200,200,330.8,133.63824263197813,0.03233502538071066,3.0136655486830004e-05,,,,,,
90,351.7044107489514,1.7585220537447568,200,1.2588743782043457,200,200,334.3,145.7282859825192,0.032131979695431474,2.9754380352839756e-05,200.0,200.0,681.2,363.2429036331045,322.5865991984055,200.0
91,355.36911743758316,1.7768455871879159,200,1.2320525240898133,200,200,319.25,120.61943362674843,0.03192893401015229,2.9371034201347033e-05,,,,,,
92,333.00130393877066,1.6650065196938533,200,1.2423347520828247,200,200,577.5,256.23534489708067,0.031725888324873094,2.898671353769545e-05,,,,,,
93,347.7459385110042,1.738729692555021,200,1.276473846435547,200,200,374.25,166.10595021044176,0.031522842639593915,2.860151511255682e-05,,,,,,
94,354.86858292685275,1.7743429146342637,200,1.1804881811141967,200,200,454.9,143.74616786065653,0.03131979695431472,2.8215535897574736e-05,,,,,,
95,334.4220376048677,1.6721101880243383,200,1.2317709994316102,200,200,545.2,228.62660258057522,0.031116751269035535,2.782887306095244e-05,200.0,200.0,504.9,211.04714636439041,337.5752801628516,200.0
96,324.48351429299737,1.6224175714649869,200,1.2124853897094727,200,200,621.7,314.99092859224146,0.03091370558375635,2.7441623942991292e-05,,,,,,
97,356.0870919903903,1.7804354599519516,200,1.247706127166748,200,200,252.25,125.78174461846224,0.03071065989847716,2.70538860315858e-05,,,,,,
98,358.2453599699269,1.7912267998496345,200,1.2765908098220826,200,200,371.4,130.32204928104377,0.030507614213197972,2.6665756937681672e-05,,,,,,
99,316.9210031059659,1.5846050155298295,200,1.2514774489402771,200,200,655.75,365.80799706624515,0.030304568527918786,2.6277334370702648e-05,,,,,,
100,338.0519912447055,1.6902599562235274,200,1.2055454993247985,200,200,446.9,211.88566337911755,0.030101522842639596,2.588871611395278e-05,200.0,200.0,272.2,114.10448755194611,364.176551558383,200.0
101,361.8516280816368,1.809258140408184,200,1.1682697415351868,200,200,290.95,116.2476473219394,0.02989847715736041,2.55e-05,,,,,,
102,341.7683799091341,1.7088418995456707,200,1.2018470311164855,200,200,561.4,194.7798483504035,0.029695431472081223,2.511128388604722e-05,,,,,,
103,342.17938485957916,1.7108969242978957,200,1.1872818517684935,200,200,492.0,189.1555128721795,0.029492385786802033,2.4722665629297345e-05,,,,,,
104,325.51818725659257,1.6275909362829628,200,1.303873167037964,200,200,678.25,318.56766619989133,0.029289340101522846,2.433424306231831e-05,,,,,,
105,341.1295917351711,1.7056479586758555,200,1.3095741486549377,200,200,547.95,200.47615795528642,0.029086294416243656,2.3946113968414164e-05,200.0,200.0,511.8,151.09788759639252,353.60928538575837,200.0
106,359.97932470688875,1.7998966235344438,200,1.2480575633049011,200,200,242.8,116.14152681594678,0.02888324873096447,2.3558376057008684e-05,,,,,,
107,360.0510351428871,1.8002551757144354,200,1.1622188735008239,200,200,302.1,114.9061698057202,0.02868020304568528,2.3171126939047532e-05,,,,,,
108,338.51834413635794,1.6925917206817898,200,1.2647335863113403,200,200,590.65,216.84527544319852,0.028477157360406097,2.2784464102425237e-05,,,,,,
109,340.7587720341934,1.703793860170967,200,1.2385752296447754,200,200,569.2,220.04925129478178,0.028274111675126907,2.2398484887443153e-05,,,,,,
110,358.08013982639596,1.7904006991319799,200,1.312228922843933,200,200,302.9,127.24369776533716,0.02807106598984772,2.2013286462304524e-05,200.0,200.0,287.45,108.28245167213362,359.5502850938451,200.0
111,360.0821559437405,1.8004107797187023,200,1.287763078212738,200,200,318.9,122.22788500349645,0.02786802030456853,2.162896579865294e-05,,,,,,
112,338.3231390453879,1.6916156952269394,200,1.2090126919746398,200,200,653.1,216.5679262577121,0.02766497461928934,2.1245619647160227e-05,,,,,,
113,339.2027203470428,1.696013601735214,200,1.240566782951355,200,200,575.7,218.94839892793973,0.027461928934010154,2.0863344513169972e-05,,,,,,
114,346.18954335592895,1.7309477167796448,200,1.2124834656715393,200,200,590.55,211.69369846184446,0.027258883248730964,2.048223663240285e-05,,,,,,
115,350.7577577136748,1.7537887885683738,200,1.2753723669052124,200,200,457.75,154.50357142183432,0.027055837563451778,2.0102391946729777e-05,200.0,200.0,476.2,145.47971865799695,350.6411891648414,200.0
116,339.3813507903874,1.696906753951937,200,1.24332177400589,200,200,693.35,234.88547747409098,0.026852791878172595,1.9723906080019073e-05,,,,,,
117,363.54272333694576,1.8177136166847288,200,1.2360906624794006,200,200,377.6,119.7953083538543,0.026649746192893405,1.93468743140636e-05,,,,,,
118,349.88350915362093,1.7494175457681047,200,1.159240701198578,200,200,408.75,147.50363420956307,0.026446700507614215,1.8971391564594197e-05,,,,,,
